Name,ra,dec,epoch,mu_acosd,mu_d,b,r,i,d_H,vt_H,Mbol_H,w_H,d_He,vt_He,Mbol_He,w_He
SSSJ224439.2-492209,341.1634,-49.3691,1995.65,87.0,-46.3,18.066,17.686,17.705,116.3,54.6,12.3,1.0,112.4,52.7,12.4,0.0
SSSJ224443.2-321944,341.1801,-32.3288,1991.515,66.1,-9.2,15.234,15.659,15.824,200.5,63.5,4.0,1.0,117.7,37.3,7.0,0.0
SSSJ224448.2+064425,341.2007,6.7401,1991.772,162.8,33.2,19.739,18.62,18.293,67.9,53.5,14.7,0.53,75.4,59.4,14.6,0.47
SSSJ224451.5+063351,341.2145,6.5643,1991.772,204.9,21.5,18.54,17.834,17.312,58.3,56.9,14.1,1.0,59.5,58.0,14.2,0.0
SSSJ224514.2+273612,341.309,27.6035,1990.812,-51.3,-65.0,18.229,18.283,18.255,233.3,91.8,10.2,1.0,226.6,89.2,10.5,0.0
SSSJ224523.9-681815,341.3496,-68.3042,1989.492,60.8,-34.6,16.92,16.613,16.513,69.0,22.9,12.3,1.0,66.8,22.1,12.4,0.0
SSSJ224526.6-480524,341.3606,-48.0901,1988.532,9.0,-49.3,17.964,17.835,17.737,150.6,35.8,11.5,1.0,140.3,33.3,11.7,0.0
SSSJ224534.0-301013,341.3919,-30.1703,1987.848,-71.8,-18.6,18.498,18.156,18.345,177.9,62.5,11.7,1.0,164.8,57.9,11.9,0.0
SSSJ224545.5-220512,341.4396,-22.0868,1991.82,-108.6,-171.3,17.421,17.0,16.76,63.0,60.6,13.0,1.0,63.1,60.8,13.1,0.0
SSSJ224554.8-450058,341.4783,-45.0161,1992.642,-10.1,-127.9,16.771,16.495,16.448,71.8,43.6,12.0,1.0,68.3,41.4,12.2,0.0
SSSJ224559.6-023746,341.4984,-2.6295,1984.421,17.2,-39.4,18.066,18.211,18.016,216.0,44.0,10.3,1.0,208.8,42.5,10.5,0.0
SSSJ224600.7+223838,341.5028,22.644,1990.812,-80.4,-27.3,18.493,18.262,18.386,199.5,80.4,11.4,1.0,185.2,74.6,11.6,0.0
SSSJ224609.0-352255,341.5375,-35.382,1988.339,-27.6,-63.3,18.985,18.638,18.516,162.8,53.3,12.5,1.0,159.7,52.2,12.6,0.0
SSSJ224610.6+042817,341.5443,4.4713,1987.816,46.2,-0.4,18.426,18.078,18.119,147.6,32.3,12.1,1.0,140.8,30.8,12.2,0.0
SSSJ224621.0-354405,341.5876,-35.7347,1988.999,-55.1,-11.9,18.316,18.2,18.222,199.6,53.3,11.1,1.0,187.5,50.1,11.3,0.0
SSSJ224625.7+184321,341.6071,18.7226,1988.852,-30.0,-59.2,18.107,18.153,18.126,218.2,68.6,10.3,1.0,211.4,66.5,10.6,0.0
